full_name,html_url,stargazers_count,size_kb,pushed_at,language,created_at,license,forks_count,default_branch,description
JodaOrg/joda-time,https://github.com/JodaOrg/joda-time,4981,12882,2026-07-26T13:33:54Z,Java,2011-05-16T16:49:57Z,Apache-2.0,1024,main,Joda-Time is the widely used replacement for the Java date and time classes prior to Java SE 8.
querydsl/querydsl,https://github.com/querydsl/querydsl,4970,51747,2026-05-28T12:13:54Z,Java,2011-08-05T06:46:32Z,Apache-2.0,882,master,Unified Queries for Java
spring-cloud/spring-cloud-netflix,https://github.com/spring-cloud/spring-cloud-netflix,4968,21296,2026-09-02T21:03:10Z,Java,2014-07-11T15:46:12Z,Apache-2.0,2448,main,Integration with Netflix OSS components
iflytek/skillhub,https://github.com/iflytek/skillhub,4966,17929,2026-09-03T12:10:59Z,Java,2026-03-11T12:17:05Z,Apache-2.0,822,main,"Self-hosted, open-source agent skill registry for enterprises. Publish & version skill packages, govern with RBAC and audit logs, deploy   on-premise with Docker or Kubernetes."
spring-cloud/spring-cloud-gateway,https://github.com/spring-cloud/spring-cloud-gateway,4905,15749,2026-09-01T22:58:41Z,Java,2016-11-16T21:42:51Z,Apache-2.0,3475,main,An API Gateway built on Spring Framework and Spring Boot providing routing and more.
micrometer-metrics/micrometer,https://github.com/micrometer-metrics/micrometer,4896,40633,2026-09-02T21:21:40Z,Java,2017-04-10T21:36:51Z,Apache-2.0,1140,main,"An application observability facade for the most popular observability tools. Think SLF4J, but for observability."
deepjavalibrary/djl,https://github.com/deepjavalibrary/djl,4852,49394,2026-09-03T00:34:27Z,Java,2019-10-29T22:38:54Z,Apache-2.0,759,master,An Engine-Agnostic Deep Learning Framework in Java
dromara/dynamic-tp,https://github.com/dromara/dynamic-tp,4801,18924,2026-08-21T11:35:17Z,Java,2022-01-07T16:35:27Z,Apache-2.0,860,master,"A lightweight dynamic thread pool framework with built-in monitoring and alerting, unified third-party thread pool management, and support for popular configuration centers (Nacos, Apollo, Zookeeper, "
Querz/mcaselector,https://github.com/Querz/mcaselector,4779,24257,2026-07-18T03:57:27Z,Java,2018-04-22T22:23:26Z,MIT,234,master,A tool to select chunks from Minecraft worlds for deletion or export.
discord-jda/JDA,https://github.com/discord-jda/JDA,4684,39505,2026-08-26T19:13:12Z,Java,2015-12-12T13:57:32Z,Apache-2.0,761,master,Java wrapper for the popular chat & VOIP service: Discord https://discord.com
rememberber/WePush,https://github.com/rememberber/WePush,4677,48789,2026-08-30T14:33:46Z,Java,2017-06-23T09:03:36Z,MIT,1016,master,专注批量推送的小而美的工具，目前支持：模板消息-公众号、模板消息-小程序、微信客服消息、微信企业号/企业微信消息、阿里云短信、阿里大于模板短信 、腾讯云短信、云片网短信、E-Mail、HTTP请求、钉钉、华为云短信、百度云短信、又拍云短信、七牛云短信
RedSpider1/concurrent,https://github.com/RedSpider1/concurrent,4612,12733,2026-07-10T15:56:22Z,Java,2018-11-03T13:49:36Z,MIT,721,develop,这是RedSpider社区成员原创与维护的Java多线程系列文章。
JZ-Darkal/AndroidHttpCapture,https://github.com/JZ-Darkal/AndroidHttpCapture,4603,5860,2026-05-07T15:24:24Z,Java,2016-10-15T19:48:00Z,MIT,861,master,"AndroidHttpCapture网络诊断工具 是一款Android手机抓包软件 主要功能包括：手机端抓包、PING/DNS/TraceRoute诊断、抓包HAR数据上传分享。你也可以看成是Android版的""Fiddler"" \(^o^)/~"
jishenghua/jshERP,https://github.com/jishenghua/jshERP,4552,67115,2026-08-19T03:49:28Z,Java,2016-09-20T04:51:39Z,Apache-2.0,1504,master,管伊佳ERP（原名华夏ERP）基于SpringBoot框架和SaaS模式，立志为中小企业提供开源好用的ERP软件，目前专注进销存+财务功能。主要模块有零售管理、采购管理、销售管理、仓库管理、财务管理、报表查询、系统管理等。支持预付款、收入支出、仓库调拨、组装拆卸、订单等特色功能。拥有库存状况、出入库统计等报表。同时对角色和权限进行了细致全面控制，精确到每个按钮和菜单。
s4kibs4mi/java-developer-roadmap,https://github.com/s4kibs4mi/java-developer-roadmap,4530,9029,2026-03-15T18:46:28Z,Java,2019-04-23T06:42:13Z,MIT,565,main,Roadmap to becoming a Java developer in 2026
apache/fory,https://github.com/apache/fory,4523,51267,2026-09-03T06:43:50Z,Java,2023-04-28T03:57:00Z,Apache-2.0,439,main,"A blazingly fast multi-language serialization framework for idiomatic domain objects, schema IDL, and cross-language data exchange."
apache/shiro,https://github.com/apache/shiro,4455,33647,2026-09-01T20:35:47Z,Java,2009-08-29T08:00:17Z,Apache-2.0,2291,main,"Apache Shiro is a powerful and easy-to-use Java security framework that performs authentication, authorization, cryptography, and session management"
dreamhead/moco,https://github.com/dreamhead/moco,4445,6409,2026-05-10T02:14:56Z,Java,2012-10-18T09:09:51Z,MIT,1080,master,Easy Setup Stub Server
JetBrains/fernflower,https://github.com/JetBrains/fernflower,4385,7806,2026-09-03T11:23:36Z,Java,2014-10-03T05:00:15Z,Apache-2.0,732,master,"Decompiler from Java bytecode to Java, used in IntelliJ IDEA."
eirslett/frontend-maven-plugin,https://github.com/eirslett/frontend-maven-plugin,4383,2503,2026-08-04T04:24:48Z,Java,2013-08-30T14:44:38Z,Apache-2.0,870,master,"""Maven-node-grunt-gulp-npm-node-plugin to end all maven-node-grunt-gulp-npm-plugins."" A Maven plugin that downloads/installs Node and NPM locally, runs NPM install, Grunt, Gulp and/or Karma."
google/open-location-code,https://github.com/google/open-location-code,4349,4785,2026-03-30T16:23:12Z,Java,2014-09-30T18:26:35Z,Apache-2.0,531,main,"Open Location Code is a library to generate short codes, called ""plus codes"", that can be used as digital addresses where street addresses don't exist."
apache/streampark,https://github.com/apache/streampark,4329,49644,2026-09-02T02:30:45Z,Java,2019-05-27T05:56:03Z,Apache-2.0,1088,dev,Make stream processing easier! Easy-to-use streaming application development framework and operation platform.
JFormDesigner/FlatLaf,https://github.com/JFormDesigner/FlatLaf,4267,21102,2026-08-25T17:43:16Z,Java,2019-08-19T10:27:05Z,Apache-2.0,332,main,FlatLaf - Swing Look and Feel (with Darcula/IntelliJ themes support)
mybatis/spring-boot-starter,https://github.com/mybatis/spring-boot-starter,4252,16697,2026-08-27T21:51:52Z,Java,2015-09-25T13:05:15Z,Apache-2.0,1790,master,MyBatis integration with Spring Boot
lukas-krecan/ShedLock,https://github.com/lukas-krecan/ShedLock,4215,11304,2026-09-02T16:25:49Z,Java,2016-12-11T13:53:59Z,Apache-2.0,570,master,Distributed lock for your scheduled tasks
RipMeApp/ripme,https://github.com/RipMeApp/ripme,4113,5464,2026-08-16T06:38:22Z,Java,2017-01-06T17:12:09Z,MIT,671,main,Downloads albums from the web in bulk for archive purposes
knowm/XChange,https://github.com/knowm/XChange,4082,54014,2026-07-31T12:04:54Z,Java,2012-02-02T10:48:28Z,MIT,2000,develop,XChange is a Java library providing a streamlined API for interacting with 60+ Bitcoin and Altcoin exchanges providing a consistent interface for trading and accessing market data.
awaitility/awaitility,https://github.com/awaitility/awaitility,4022,1275,2026-04-17T11:01:24Z,Java,2010-01-22T15:12:52Z,Apache-2.0,268,master,Awaitility is a small Java DSL for synchronizing asynchronous operations
fishercoder1534/Leetcode,https://github.com/fishercoder1534/Leetcode,4003,11773,2026-08-04T02:51:24Z,Java,2016-07-31T05:28:15Z,Apache-2.0,1294,master,Solutions to LeetCode problems; updated daily. Subscribe to my YouTube channel for more.
kubernetes-client/java,https://github.com/kubernetes-client/java,3999,69140,2026-09-03T02:03:55Z,Java,2017-05-08T21:52:58Z,Apache-2.0,2112,master,Official Java client library for kubernetes
shuzijun/leetcode-editor,https://github.com/shuzijun/leetcode-editor,3979,31090,2026-08-13T06:21:24Z,Java,2019-03-19T16:32:17Z,Apache-2.0,425,master,"Do Leetcode exercises in IDE, support leetcode.com and leetcode-cn.com, to meet the basic needs of doing exercises.Support theoretically: IntelliJ IDEA PhpStorm WebStorm PyCharm RubyMine AppCode CLion"
mercyblitz/tech-weekly,https://github.com/mercyblitz/tech-weekly,3970,19507,2026-07-27T03:07:07Z,Java,2018-12-03T03:10:52Z,Apache-2.0,705,master,「小马哥技术周报」
RoaringBitmap/RoaringBitmap,https://github.com/RoaringBitmap/RoaringBitmap,3922,91203,2026-09-02T15:27:59Z,Java,2013-06-17T20:29:23Z,Apache-2.0,593,master,"A better compressed bitset in Java: used by Apache Spark, Netflix Atlas, Apache Pinot, Tablesaw, and many others"
sofastack/sofa-rpc,https://github.com/sofastack/sofa-rpc,3921,4469,2026-09-01T03:39:02Z,Java,2018-04-09T03:32:04Z,Apache-2.0,1200,master,"SOFARPC is a high-performance, high-extensibility, production-level Java RPC  framework."
bluelinelabs/Conductor,https://github.com/bluelinelabs/Conductor,3898,3766,2026-03-14T00:59:18Z,Java,2016-03-16T18:42:41Z,Apache-2.0,338,develop,"A small, yet full-featured framework that allows building View-based Android applications"
uncle-novel/uncle-novel,https://github.com/uncle-novel/uncle-novel,3884,90990,2026-03-26T03:23:26Z,Java,2018-12-11T12:15:30Z,MIT,539,main,
nageoffer/ragent,https://github.com/nageoffer/ragent,3875,15926,2026-09-02T14:31:31Z,Java,2025-11-20T07:22:53Z,Apache-2.0,781,main,企业级 Agentic RAG 智能体 - 全链路覆盖文档解析、多路检索、意图识别、问题重写、会话记忆、MCP 工具调用与深度思考。面向真实业务场景，从 0 到 1 完整工程实现。
JCTools/JCTools,https://github.com/JCTools/JCTools,3871,8552,2026-08-18T14:28:40Z,Java,2013-11-10T18:04:40Z,Apache-2.0,592,master,
1024-lab/smart-admin,https://github.com/1024-lab/smart-admin,3857,36442,2026-07-01T14:27:42Z,Java,2019-11-16T02:30:31Z,MIT,1005,master,SmartAdmin国内首个以「高质量代码」为核心，「简洁、高效、安全」快速开发平台；基于SpringBoot2/3 + Sa-Token + Mybatis-Plus 和 Vue3 + Vite5 + Ant Design Vue 4.x (同时支持JavaScript和TypeScript双版本)；满足国家三级等保要求、支持登录限制、接口数据国产加解密、高防SQL注入等一系列安全体系。
