full_name,html_url,stargazers_count,size_kb,pushed_at,language,created_at,license,forks_count,default_branch,description
mermaid-js/mermaid-cli,https://github.com/mermaid-js/mermaid-cli,4994,2693,2026-09-02T14:55:20Z,JavaScript,2020-05-18T07:26:06Z,MIT,386,master,Command line tool for the Mermaid library
gnmyt/Nexterm,https://github.com/gnmyt/Nexterm,4976,34536,2026-09-03T07:18:20Z,JavaScript,2024-08-13T17:14:38Z,MIT,266,main,"The open source server management software for SSH, VNC & RDP"
frontend-collective/react-sortable-tree,https://github.com/frontend-collective/react-sortable-tree,4971,15996,2026-02-03T22:14:44Z,JavaScript,2016-07-22T08:36:25Z,MIT,915,master,Drag-and-drop sortable component for nested data and hierarchies
coreui/coreui-free-react-admin-template,https://github.com/coreui/coreui-free-react-admin-template,4951,4905,2026-08-14T15:31:47Z,JavaScript,2017-08-15T09:28:59Z,MIT,2558,main,Free React Admin & Dashboard Template Built for AI-Assisted Development
TalAter/UpUp,https://github.com/TalAter/UpUp,4918,29470,2026-08-03T18:16:11Z,JavaScript,2015-03-11T13:20:08Z,MIT,260,master,✈️ Easily create sites that work offline as well as online
eKoopmans/html2pdf.js,https://github.com/eKoopmans/html2pdf.js,4917,30021,2026-09-03T12:44:55Z,JavaScript,2017-03-29T00:24:44Z,MIT,1671,main,Client-side HTML-to-PDF rendering using pure JS.
json-editor/json-editor,https://github.com/json-editor/json-editor,4904,8233,2026-08-25T11:22:29Z,JavaScript,2017-11-21T13:38:49Z,MIT,698,master,JSON Schema Based Editor
mpetroff/pannellum,https://github.com/mpetroff/pannellum,4889,21462,2026-07-12T20:45:23Z,JavaScript,2012-09-17T15:43:07Z,MIT,777,master,"Pannellum is a lightweight, free, and open source panorama viewer for the web."
babel/babel-loader,https://github.com/babel/babel-loader,4837,6754,2026-09-03T00:06:28Z,JavaScript,2014-10-08T22:30:13Z,MIT,456,main,📦 Babel loader for webpack
carloscuesta/gitmoji-cli,https://github.com/carloscuesta/gitmoji-cli,4831,5766,2026-09-03T07:03:07Z,JavaScript,2016-11-17T21:40:32Z,MIT,211,master,A gitmoji interactive cli tool for using emojis on commits. 💻
